document_id,filename,field,expected_status,actual_status,expected_value,actual_value
D05,05_NordWelle_Servio_MasterSubscriptionAgreement_EN.pdf,notice_period,conflicting,conflicting,"[{""amount"":3,""unit"":""months"",""anchor"":""term_end"",""purpose"":""non_renewal""},{""amount"":6,""unit"":""months"",""anchor"":""term_end"",""purpose"":""non_renewal""}]","[{""amount"":3,""unit"":""months"",""anchor"":""term_end"",""purpose"":""non_renewal""},{""amount"":6,""unit"":""months"",""anchor"":""term_end"",""purpose"":""non_renewal""}]"
D05,05_NordWelle_Servio_MasterSubscriptionAgreement_EN.pdf,notice_delivery,found,found,"{""method"":""any_written"",""address"":""contracts@servio-field.nl"",""cc"":[""registered office of the recipient""]}","{""method"":""any_written"",""address"":""contracts@servio-field.nl"",""cc"":[""SERVIO FIELD SOLUTIONS B.V., Croeselaan 18, 3521 CB Utrecht, Netherlands""]}"
D06,06_AlpenBridge_Nortveil_EndpointSecurityLicence_EN.pdf,contract_title,found,found,"""Endpoint Security Licence Agreement""","""Endpoint Security Licence Agreement Nortveil Sentinel — 240 endpoints"""
D06,06_AlpenBridge_Nortveil_EndpointSecurityLicence_EN.pdf,effective_date,found,not_found,"""2025-07-01""",
D06,06_AlpenBridge_Nortveil_EndpointSecurityLicence_EN.pdf,notice_period,found,found,"[{""amount"":60,""unit"":""days"",""anchor"":""term_end"",""purpose"":""non_renewal""},{""amount"":90,""unit"":""days"",""anchor"":""any_time"",""purpose"":""convenience""}]","[{""amount"":60,""unit"":""days"",""anchor"":""term_end"",""purpose"":""non_renewal""}]"
D07,07_AlpenBridge_Steinacher_Wartungsvertrag_SCAN_DE.pdf,contract_title,found,found,"""Wartungsvertrag""","""Wartungsvertrag USV-Anlagen und Präzisionsklimatechnik, Serverraum Wien"""
D07,07_AlpenBridge_Steinacher_Wartungsvertrag_SCAN_DE.pdf,renewal_term_length,found,found,"{""amount"":12,""unit"":""months""}","{""amount"":1,""unit"":""years""}"
D07,07_AlpenBridge_Steinacher_Wartungsvertrag_SCAN_DE.pdf,notice_period,found,not_found,"[{""amount"":3,""unit"":""months"",""anchor"":""term_end"",""purpose"":""non_renewal""}]",
D07,07_AlpenBridge_Steinacher_Wartungsvertrag_SCAN_DE.pdf,notice_delivery,found,found,"{""method"":""any_written"",""address"":""Steinacher Gebäudetechnik GmbH, Guglgasse 12, 1110 Wien"",""cc"":[]}","{""method"":""any_written"",""address"":""Steinacher Gebäudetechnik GmbH Guglgasse 12 · 1110 Wien · Österreich"",""cc"":[]}"
D08,08_RheinHaus_Bergmann_Mietvertrag_Reinigungsmaschinen_DE.pdf,contract_type,found,found,"""infrastructure""","""equipment_lease"""
D09,09_RheinHaus_RED_Entsorgungsvertrag_DE.pdf,contract_title,found,found,"""Entsorgungsvertrag""","""Entsorgungsvertrag Restabfall, Papier und Wertstoffe — 14 Objekte"""
D09,09_RheinHaus_RED_Entsorgungsvertrag_DE.pdf,initial_term_length,found,not_found,"{""amount"":12,""unit"":""months""}",
D09,09_RheinHaus_RED_Entsorgungsvertrag_DE.pdf,renewal_term_length,found,found,"{""amount"":12,""unit"":""months""}","{""amount"":1,""unit"":""years""}"
D09,09_RheinHaus_RED_Entsorgungsvertrag_DE.pdf,notice_period,ambiguous,ambiguous,"[{""amount"":30,""unit"":""business_days"",""anchor"":""term_end"",""purpose"":""non_renewal""}]","[{""amount"":30,""unit"":""business_days"",""anchor"":""term_end"",""purpose"":""non_renewal""}]"
D09,09_RheinHaus_RED_Entsorgungsvertrag_DE.pdf,notice_delivery,found,found,"{""method"":""registered_post"",""address"":""Rheinische Entsorgungsdienste AG, Bonner Strasse 484, 50968 Köln"",""cc"":[]}","{""method"":""registered_post"",""address"":""Rheinische Entsorgungsdienste AG, Bonner Strasse 484, 50968 Köln, Deutschland"",""cc"":[]}"
D09,09_RheinHaus_RED_Entsorgungsvertrag_DE.pdf,contract_value,found,found,"{""amount"":2340,""currency"":""EUR"",""basis"":""variable""}","{""amount"":2340,""currency"":""EUR"",""basis"":""monthly""}"
D10,10_LumenWerk_HelveticFulfilment_FulfilmentServicesAgreement_EN.pdf,contract_type,found,found,"""professional_services""","""other"""
D10,10_LumenWerk_HelveticFulfilment_FulfilmentServicesAgreement_EN.pdf,notice_delivery,found,found,"{""method"":""any_written"",""address"":""Helvetic Fulfilment Partners AG, Rheinstrasse 92, 4133 Pratteln"",""cc"":[]}","{""method"":""any_written"",""address"":""HELVETIC FULFILMENT PARTNERS AG, Rheinstrasse 92, 4133 Pratteln, Switzerland"",""cc"":[]}"
D10,10_LumenWerk_HelveticFulfilment_FulfilmentServicesAgreement_EN.pdf,contract_value,found,not_found,"{""amount"":6200,""currency"":""CHF"",""basis"":""variable""}",
D11,11_LumenWerk_Gruenraum_Dienstleistungsvertrag_DE.pdf,document_type,found,not_found,"""master_agreement""",
D11,11_LumenWerk_Gruenraum_Dienstleistungsvertrag_DE.pdf,contract_title,found,found,"""Dienstleistungsvertrag""","""Dienstleistungsvertrag Wasserspender und Pflanzenpflege, Standort Zürich Kreis 5"""
D11,11_LumenWerk_Gruenraum_Dienstleistungsvertrag_DE.pdf,initial_term_length,found,not_found,"{""amount"":12,""unit"":""months""}",
